"rep","mode","conv","nll","secs","alpha0_2","alpha0_3","alpha0_4","alpha0_5","alpha1_1","alpha1_2","og_E","log_c_bar","K_mean"
36,"znext",0,3059.36880012707,138.504868984222,-0.485570524126875,-0.915895335194223,0.486843991359398,0.805438604641309,1.62992755086449,-1.03828079615981,2.75093652119726,-0.583930098649383,1.612
37,"zK",0,3140.34302790055,131.888278961182,-0.469710640211942,-0.770780797105255,0.520071214270003,0.826837152587459,1.50686874470829,-0.933880382161979,2.50237754066323,-0.79166511444064,1.653
37,"znext",0,3054.38669316627,133.569244146347,-0.479165317747294,-0.79071455073387,0.538086480276384,0.852577869826979,1.56206346177021,-0.964776122656215,2.61530596755747,-0.658832350377844,1.653
38,"zK",0,3162.74696424815,128.522495031357,-0.504032374458219,-0.838012131792571,0.448512978606176,0.696689350604583,1.45542945523416,-1.0118313986037,2.25584914817596,-0.660557166150739,1.624
38,"znext",0,3087.20202717719,132.228081941605,-0.531875869917804,-0.882512429232732,0.457432513543312,0.706665109515633,1.49810150694692,-1.04974569418119,2.33801136171498,-0.546963299978722,1.624
39,"zK",0,3217.81866315551,136.209774971008,-0.41994116563632,-0.809040664519645,0.581188554918536,0.785963692078424,1.47804952673086,-0.916982825091374,2.3539962360557,-0.721842579613655,1.646
39,"znext",0,3122.79663987699,131.80501294136,-0.437000729602899,-0.843643496840743,0.613687268935899,0.817219272565479,1.51346898783024,-0.972729579315116,2.46014697212849,-0.579108105918797,1.646
40,"zK",0,3216.9582640436,128.664622068405,-0.477197323784742,-0.790858182020201,0.527967762305528,0.85980676892944,1.41351806475576,-1.00817894345825,2.52932586377062,-0.782651771655064,1.652
40,"znext",0,3134.00468304759,131.551017999649,-0.502150977264658,-0.834716626788525,0.540495786625634,0.884658677581729,1.46388456889113,-1.03698060261418,2.62089744538377,-0.660758458513579,1.652
41,"zK",0,3098.09393928108,131.622100114822,-0.442757373553357,-0.68525857030666,0.54634371759093,0.907722198043347,1.49024046117429,-0.958379504577578,2.58399928537726,-0.695702160756243,1.602
41,"znext",0,3024.54993317748,135.19651389122,-0.459695759136201,-0.688260202223613,0.576355846307155,0.942958205609636,1.52614200646063,-0.972854579434281,2.65759444500389,-0.581710385314528,1.602
42,"zK",0,3037.0397970322,141.227765083313,-0.470424355780933,-0.84131298750311,0.513718188677606,0.826019013704489,1.59428041401319,-1.10181936586454,2.83164541971846,-0.67944102583854,1.587
42,"znext",0,2967.9227811724,144.431108951569,-0.485146577173527,-0.879770846457337,0.521082606628742,0.838175299505118,1.64045280497296,-1.15002726865494,2.93376458714058,-0.569357532805894,1.587
43,"zK",0,3084.77582323138,128.577111005783,-0.35711930654491,-0.725353524841653,0.568277420876871,0.84331881387992,1.56828003422834,-0.961441815259533,2.55529774173009,-0.650638896968744,1.598
43,"znext",0,3011.16031582147,132.521143913269,-0.360532291821791,-0.745475951837456,0.588161708146806,0.87088787945333,1.60938309399764,-0.991058200328482,2.64208505253028,-0.538242579605743,1.598
44,"zK",0,3040.64293556352,128.835551977158,-0.468757644094658,-0.816084011350781,0.50643411597792,0.859614538821243,1.49841560519385,-1.24004820006864,2.75710131424768,-0.669393289172902,1.591
44,"znext",0,2978.37063225038,128.189708948135,-0.492194371303097,-0.844663224854982,0.516685426960905,0.874377824613905,1.52909826230911,-1.25524781012674,2.80923157982703,-0.569673985777322,1.591
45,"zK",0,3152.8215587923,128.930527925491,-0.484888784612064,-0.790490854267207,0.522141753603181,0.857573323984153,1.40335826113414,-0.977487582111149,2.4807162437107,-0.646757673611334,1.594
45,"znext",0,3077.80760578927,130.95401597023,-0.501166773150261,-0.814134903603656,0.543197684817007,0.884615338269964,1.43786710248992,-1.01868453724298,2.56984402509927,-0.533331953063737,1.594
46,"zK",0,3186.14500910801,137.806322813034,-0.530061343055987,-1.06149949694882,0.470169224079572,0.673590619958728,1.44631117618003,-0.94511731352597,2.33339985239616,-0.700926589814472,1.623
46,"znext",0,3102.16380132441,138.880730867386,-0.538949928042113,-1.10331550201959,0.488841275949878,0.701246338630503,1.49116526991472,-0.978663540055779,2.43419411704053,-0.574846666020319,1.623
47,"zK",0,3076.7222049938,128.23624587059,-0.475939618683956,-0.764872469892758,0.455371732684446,0.854182771913584,1.57880768623008,-1.08176799005637,2.67661948599369,-0.659247412638758,1.591
47,"znext",0,2999.46713372835,128.787703990936,-0.490024062102268,-0.786674179629676,0.479562984397,0.883732223180475,1.62957911159644,-1.15129710503052,2.82246327994841,-0.545904079347163,1.591
48,"zK",0,3117.03155833666,126.849809169769,-0.486290256166535,-0.786965139846675,0.522305308335179,0.845196480754817,1.55554728906543,-1.00395062461176,2.74820562085479,-0.709153854971283,1.6
48,"znext",0,3044.24655437012,132.701191902161,-0.500470447864437,-0.826036470756775,0.537084083397605,0.869814718756648,1.59344590184717,-1.04482654397927,2.84723314365408,-0.603971567982525,1.6
49,"zK",0,3143.57402949684,138.528030872345,-0.519234009599195,-0.749439486722927,0.548928912795195,0.783076736861394,1.47083200847828,-0.987237279709655,2.31561208927616,-0.67114785772707,1.62
49,"znext",0,3047.12140836044,132.311610937119,-0.535445369874139,-0.78548015262508,0.58098703368105,0.815371793755996,1.5276599754712,-1.02323485306475,2.42995448329399,-0.532186282784874,1.62
50,"zK",0,3096.61525792203,131.655699014664,-0.540407032216945,-0.768086692911089,0.459639903161986,0.793886627151159,1.50220030146347,-0.903537284713802,2.42930516361114,-0.618947755944414,1.579
50,"znext",0,3026.91444835664,131.921767950058,-0.557539183228961,-0.805536753755057,0.468824673692589,0.816980716209079,1.53817432176801,-0.918484620987384,2.48532345317219,-0.510639229063339,1.579
51,"zK",0,3172.13307363436,130.503746032715,-0.462427700743575,-0.742718446165255,0.460032990597102,0.839246022180908,1.44302074658637,-1.090726674705,2.51517587225196,-0.676410133258049,1.616
51,"znext",0,3093.46064106576,136.328438043594,-0.482354325058955,-0.767335220547549,0.475550551013701,0.869528503598145,1.48996832911367,-1.11055129388016,2.60100365233525,-0.557641802101423,1.616
52,"zK",0,3124.62664565615,131.929104089737,-0.452147883277591,-0.791443080968709,0.529488650236691,0.84630181187821,1.47184497334927,-0.808346645133647,2.51658338987509,-0.711029145532875,1.59
52,"znext",0,3037.57898736794,130.322257995605,-0.482908722074821,-0.830234222157079,0.554234981271424,0.881795324599648,1.52664984585589,-0.836224761659637,2.62562991403422,-0.584337189611091,1.59
53,"zK",0,3098.64259374474,138.92483997345,-0.50320403348771,-0.817917042580215,0.504953206094463,0.793979685601923,1.54137210483552,-0.941572890513123,2.46762235436648,-0.692091920524176,1.615
53,"znext",0,3015.69625466569,132.61442399025,-0.512653112351794,-0.872675478153908,0.516686548238152,0.810127900129951,1.57684318821863,-0.956334448463193,2.51972749393947,-0.564448925073798,1.615
54,"zK",0,3143.08177722508,112.392997026443,-0.437952126317652,-0.766627840542215,0.473834486902688,0.833838897514579,1.52355242729504,-1.16572454391574,2.81463629991704,-0.7622861382882,1.61
54,"znext",0,3069.03806720858,108.735812902451,-0.455042815858349,-0.793683200567583,0.491487140561194,0.858091011608881,1.56837866102848,-1.19785311993095,2.910057351841,-0.652403193268039,1.61
55,"zK",0,3104.71106305707,135.794157028198,-0.47889653395589,-0.833605468001083,0.543646386073205,0.82645249737738,1.4516326935563,-0.966519889544269,2.43987387270166,-0.715461251717391,1.607
55,"znext",0,3023.47137874504,141.021595001221,-0.486115905042209,-0.86389241463075,0.567241421678764,0.860075252671116,1.50105672624947,-0.995707931915828,2.54597998589079,-0.588751126421051,1.607
56,"zK",0,3234.34631235327,133.407212972641,-0.621144567720288,-0.908015438242066,0.347236524626617,0.623516327833318,1.48985722696016,-0.826228355374625,2.28581766093187,-0.692472120390398,1.626
56,"znext",0,3164.80091294242,132.533171892166,-0.644382057250075,-0.930585963698274,0.357832050016421,0.639447769377701,1.53222493155395,-0.849446723035599,2.3640850229869,-0.585218192730592,1.626
57,"zK",0,3096.46066510171,133.786282062531,-0.438708687573298,-0.836984686172224,0.526842256278795,0.842666488172794,1.38767833239961,-0.968145885156785,2.26846731215862,-0.607277149309233,1.584
57,"znext",0,3007.19285386804,131.498360157013,-0.456823116188581,-0.87291924410047,0.538796734760008,0.867065019519143,1.4360694427139,-1.01087893564287,2.37501039204474,-0.485624483424134,1.584
58,"zK",0,3086.15580896464,132.609246015549,-0.482457138137205,-0.895554377345016,0.408487870852665,0.769725021906678,1.55921094976204,-1.04582432919626,2.46704291875617,-0.696126862792668,1.615
58,"znext",0,3019.01656324591,132.984539985657,-0.489712856302796,-0.926641619069497,0.423699719537527,0.792869179406639,1.59288995291742,-1.07427713363622,2.54452690655076,-0.594245381902247,1.615
59,"zK",0,3180.27449399828,133.115294933319,-0.492754983823165,-0.921452394405831,0.449035487024537,0.690001410185716,1.521696218552,-0.945524006942838,2.42396108176289,-0.698415459983268,1.624
59,"znext",0,3108.15481807025,130.647660017014,-0.510730710703618,-0.974781722282783,0.45075658315291,0.700610699934189,1.56169555109042,-0.971480821035157,2.49346831451755,-0.582155566942967,1.624
60,"zK",0,3129.32442488622,132.513312101364,-0.552401913500143,-0.813663696024524,0.459045353348263,0.786830361042752,1.47032443425399,-0.874044709264388,2.32820087049832,-0.653510570328177,1.596
60,"znext",0,3056.67857976507,131.091727972031,-0.578692818785983,-0.843331015275029,0.480931614889536,0.803873862014547,1.5227820709101,-0.900406576744119,2.42612214358132,-0.546295013049862,1.596
61,"zK",0,3190.99791193077,117.700443029404,-0.390328925207029,-0.667422159402103,0.573360451868835,0.826157666272406,1.49486218568132,-1.05397183461764,2.68521350619374,-0.707641750348927,1.622
61,"znext",0,3117.2999630895,108.946834087372,-0.407044856940288,-0.704238181929273,0.581417096246799,0.841220758755626,1.53429841357473,-1.07169061002229,2.7516894751316,-0.595227986589212,1.622
